date_ymd,time_to_travel_grouping,length_of_stay_grouping,platform_country_code,adv_id,clicks,bookings,booking_rev_EURcent,cost_EURcent
20200729,8,1,FI,345,22,0,0,51
20200428,41,13,US,64,5,0,0,146
20200810,2,1,IL,64,351,5,103666,3474
20200824,8,15,TR,139,8,0,0,48
20200910,2,13,HK,56,7,0,0,73
20201217,15,13,ZZ,90,2,0,0,0
20200510,41,8,HK,56,2,0,0,7
20200420,41,4,ES,64,5,0,0,10
20200920,29,4,EC,56,4,0,0,55
20200930,8,3,ES,90,51,1,11100,776
20200604,29,1,IL,402,5,0,0,19
20200822,5,3,NL,58,33,1,33054,1245
20201219,5,1,XX,345,6,0,0,63
20200715,29,1,TH,402,7,0,0,30
20200629,8,1,NL,56,72,0,0,426
20201026,41,1,GR,64,2,0,0,10
20200910,41,3,SI,58,2,0,0,6
20200623,29,3,ZZ,64,21,0,0,505
20201013,41,2,ZA,58,38,0,0,687
20201021,5,4,AE,64,2,0,0,192
20200403,15,1,SE,58,2,0,0,1
20201015,8,2,MY,56,177,8,53719,3075
20200508,15,1,ES,56,25,0,0,23
20200622,0,3,ES,402,6,1,13219,58
20200512,0,3,US,64,138,23,544798,22989
20200728,301,3,PT,345,5,0,0,25
20200929,0,4,HK,56,5,1,14922,46
20201225,5,1,HK,58,9,0,0,75
20201013,301,3,ZZ,64,2,0,0,50
20201116,5,2,PE,402,2,0,0,8
20200611,2,4,PL,64,2,0,0,7
20200901,29,1,RO,402,15,0,0,61
20200506,41,1,IL,58,5,0,0,4
20200519,15,1,IN,402,25,0,0,60
20200527,29,3,US,151,33,0,0,1288
20200816,5,15,IN,56,3,0,0,12
20200416,41,8,BE,402,2,0,0,17
20200830,2,8,ZZ,64,2,0,0,168
20200527,15,4,AA,56,13,0,0,47
20200409,2,8,US,64,3,0,0,346
20200721,41,8,ID,64,2,0,0,2
20200923,29,7,US,58,16,0,0,896
20201222,15,1,IE,64,11,0,0,253
20200619,41,2,ES,64,210,4,150821,2808
20200922,29,2,MY,56,686,21,190013,7688
20200405,0,13,US,7,9,0,0,1507
20201016,41,3,BE,345,2,0,0,21
20200819,8,4,SE,64,24,1,70834,1246
20201128,15,4,AR,56,7,0,0,47
20200809,41,7,AT,345,8,0,0,71
20200905,29,2,BE,56,5,0,0,88
20201109,5,15,ES,90,2,0,0,0
20200920,41,4,AA,64,63,0,0,1141
20200630,8,1,IN,56,120,0,0,193
20200621,41,1,CZ,56,8,0,0,16
20200418,41,4,HR,402,4,0,0,16
20201230,8,2,TW,64,5,0,0,81
20201003,2,4,ES,64,32,0,0,1447
20200522,15,2,ZA,56,5,0,0,17
20200718,2,2,HK,58,2,0,0,71
20200909,15,15,US,56,7,0,0,483
20200708,41,2,YY,345,40,2,190717,585
20200806,15,2,XX,56,99,0,0,875
20200422,8,1,GR,402,80,0,0,186
20200810,41,15,US,151,2,0,0,26
20200519,8,1,UY,402,11,0,0,44
20200523,5,4,XX,345,26,1,132705,134
20200612,29,7,TR,64,2,0,0,11
20200615,5,1,TW,402,40,0,0,93
20200924,2,4,BE,58,27,0,0,2089
20200905,0,1,PT,345,7,0,0,8
20200516,29,2,DK,64,5,0,0,116
20200717,29,1,ID,402,10,0,0,38
20201211,15,1,HK,64,4,0,0,78
20200621,29,7,GR,58,2,0,0,1
20200402,29,3,TW,56,2,0,0,10
20200408,41,7,PL,402,9,0,0,36
20201104,5,1,HK,402,3,0,0,13
20200725,29,7,TR,332,93,0,0,525
20201015,2,1,KR,58,3,0,0,32
20200930,15,3,TW,90,2,0,0,27
20201108,41,1,SK,56,7,0,0,31
20200623,0,3,ES,64,7,0,0,289
20200822,5,15,TR,332,2,0,0,6
20200511,29,3,YY,345,2,0,0,34
20200523,15,2,TW,56,53,0,0,315
20201113,15,4,YY,345,30,1,195181,632
20201006,5,4,HK,56,4,0,0,50
20200818,5,3,PT,345,20,0,0,48
20200814,15,3,DK,402,7,0,0,133
20200907,0,8,SE,64,7,0,0,1207
20200818,41,3,XX,56,72,0,0,1089
20200924,0,1,ID,90,97,1,1040,592
20201009,2,8,ES,64,3,0,0,192
20201228,8,2,PT,90,2,0,0,0
20200714,5,15,ES,64,2,0,0,102
20201027,41,1,BE,56,30,1,14087,340
20201129,5,1,IE,64,101,1,33054,2107
20200704,0,3,YY,345,5,0,0,63
20201123,8,1,ID,56,307,6,25781,3670
20201010,5,2,YY,402,13,0,0,52
20201109,5,1,ZA,56,388,2,16681,4377
20201111,29,4,AA,64,12,0,0,211
20200829,0,1,US,7,410,36,335619,32271
20200926,0,2,PT,90,2,0,0,59
20200708,0,2,YY,345,30,1,59776,285
20200602,41,7,AA,56,7,0,0,68
20200715,41,4,GR,402,32,0,0,198
20200714,0,4,GR,64,2,0,0,37
20200714,8,7,NL,64,2,0,0,39
20200826,29,4,US,7,202,4,282257,21443
20200626,41,2,TH,56,46,0,0,327
20200504,2,2,XX,402,10,0,0,115
